gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
980520599,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS247545955,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Estación Biológica La Selva-OTS,Heredia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.431166,-84.00353,NA,NA,NA,NA,NA,NA,2006-10-21,21,10,2006,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS247545955,,,NA,CC_BY_4_0,,obsr156650,,,2025-07-04T13:39:12Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
980179817,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS244567076,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Gavilán Lodge (Sarapiquí),Heredia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.455276,-84.001785,NA,NA,NA,NA,NA,NA,1996-08-22,22,8,1996,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS244567076,,,NA,CC_BY_4_0,,obsr312212,,,2025-07-04T13:37:46Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
979558955,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS240306390,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,San Gerardo Biological Station (Monteverde),Guanacaste,PRESENT,NA,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.363766,-84.79035,NA,NA,NA,NA,NA,NA,2000-04-26,26,4,2000,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS240306390,,,NA,CC_BY_4_0,,obsr434831,,,2025-07-04T13:39:02Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
978749993,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS236145472,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Estación Biológica La Selva-OTS,Heredia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.431166,-84.00353,NA,NA,NA,NA,NA,NA,1993-01-17,17,1,1993,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS236145472,,,NA,CC_BY_4_0,,obsr39970,,,2025-07-04T13:37:35Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
977329948,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS225900610,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,PN Braulio Carrillo--Localidad General (favor usar una más específica),San José,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.160833,-83.96187,NA,NA,NA,NA,NA,NA,2008-07-13,13,7,2008,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS225900610,,,NA,CC_BY_4_0,,obsr448768,,,2025-07-04T13:37:55Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
977219026,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS225099307,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,San Gerardo Biological Station (Monteverde),Guanacaste,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.363766,-84.79035,NA,NA,NA,NA,NA,NA,2012-02-24,24,2,2012,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS225099307,,,NA,CC_BY_4_0,,obsr294835,,,2025-07-04T13:40:16Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
976734310,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS223856130,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,La Selva Biological Station,Heredia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.558022,-84.03168,NA,NA,NA,NA,NA,NA,2002-02-27,27,2,2002,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS223856130,,,NA,CC_BY_4_0,,obsr369239,,,2025-07-04T13:39:12Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
974368184,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS220840100,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Cerro Los Perdidos,Alajuela,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.422961,-84.64891,NA,NA,NA,NA,NA,NA,2013-12-07,7,12,2013,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD,OBS220840100,,,NA,CC_BY_4_0,,obsr421443,,,2025-07-04T13:38:46Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
973873919,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS220265247,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Penas Blancas valley,Alajuela,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.296329,-84.75409,NA,NA,NA,NA,NA,NA,1986-03-18,18,3,1986,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS220265247,,,NA,CC_BY_4_0,,obsr403934,,,2025-07-04T13:40:46Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
973852787,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS220505014,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus glabricollis,NA,SPECIES,"Cephalopterus glabricollis Gould, 1851",Cephalopterus glabricollis,,CR,Estación Biológica La Selva-OTS,Heredia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,10.431166,-84.00353,NA,NA,NA,NA,NA,NA,2005-02-10,10,2,2005,5959197,5959197,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS220505014,,,NA,CC_BY_4_0,,obsr135713,,,2025-07-04T13:38:35Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_CONCEPT_ID_NOT_FOUND
