year,month,day,user_login,taxonomy,genus,species,common_name
2023,02,24,dune_ninja,Mammalia-Artiodactyla-Bovidae,Aepyceros,melampus,Common Impala
2023,03,07,roman_burkardt,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2023,02,13,tom_riggle,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2023,02,13,tom_riggle,Mammalia-Artiodactyla-Bovidae,Raphicerus,campestris,Steenbok
2022,07,28,sabinaphilippe,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2022,07,28,sabinaphilippe,Mammalia-Artiodactyla-Bovidae,Tragelaphus,spekii,Southern Sitatunga
2022,12,12,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Sylvicapra,grimmia,Bush Duiker
2021,03,16,thom00774,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2022,11,04,rogerioferreira,Mammalia-Artiodactyla-Hippopotamidae,Hippopotamus,amphibius,Common Hippopotamus
2012,09,01,tadkawecki,Mammalia-Artiodactyla-Bovidae,Kobus,leche,Red Lechwe
2022,09,03,vdeboutte,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2022,10,15,rogerioferreira,Mammalia-Artiodactyla-Bovidae,Hippotragus,niger,Giant Sable Antelope
2022,10,08,joachim,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2022,10,08,joachim,Mammalia-Artiodactyla-Bovidae,Redunca,arundinum,Southern Reedbuck
2022,10,09,joachim,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2022,10,10,joachim,Mammalia-Artiodactyla-Bovidae,Connochaetes,taurinus,Blue Wildebeest
2022,10,08,joachim,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2007,06,29,omateus,Mammalia-Artiodactyla-Bovidae,Philantomba,monticola,Blue Duiker
2022,08,19,tonyrebelo,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2022,08,19,tonyrebelo,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
2022,08,19,tonyrebelo,Mammalia-Artiodactyla-Bovidae,Syncerus,caffer,Forest Buffalo
