Punto de muestreo,Y,X,Sp,Sexo,Estado de desarrollo,Estrato,Presencia humana
EU,9.96504,-83.93187,Columba livia,NA,A,DS,11
EU,9.96504,-83.93187,Pygochelidon cyanoleuca,NA,A,V,11
EU,9.96504,-83.93187,Pygochelidon cyanoleuca,NA,A,V,11
EU,9.96504,-83.93187,Pygochelidon cyanoleuca,NA,A,V,11
EU,9.96504,-83.93187,Ramphocelus passerinii,H,A,DS,11
EU,9.96504,-83.93187,Zenaida asiatica,NA,A,SB,11
EU,9.96504,-83.93187,Megarhynchus pitangua,NA,A,SB,11
EU,9.96504,-83.93187,Cantorchilus modestus,NA,A,SB,11
EU,9.96504,-83.93187,Turdus grayi,NA,A,SB,11
EU,9.96504,-83.93187,Troglodytes musculus,NA,A,DS,11
EU,9.96504,-83.93187,Amazilia tzacatl,NA,A,V,11
EU,9.96504,-83.93187,Melanerpes hoffmannii,NA,A,DS,11
EU,9.96504,-83.93187,Zenaida asiatica,NA,A,DS,11
EU,9.96504,-83.93187,Piaya cayana,NA,A,DS,11
PU,9.99812,-84.1104,Melanerpes hoffmannii,H,A,SB,8
PU,9.99812,-84.1104,Melanerpes hoffmannii,M,A,SB,8
PU,9.99812,-84.1104,Zenaida asiatica,NA,A,DS,8
PU,9.99812,-84.1104,Pygochelidon cyanoleuca,NA,A,V,8
PU,9.99812,-84.1104,Pygochelidon cyanoleuca,NA,A,V,8
PU,9.99812,-84.1104,Pygochelidon cyanoleuca,NA,A,V,8
PU,9.99812,-84.1104,Tyrannus melancholicus,NA,A,NA,8
PU,9.99812,-84.1104,Psittacara finschi,NA,A,V,8
PU,9.99812,-84.1104,Psittacara finschi,NA,A,V,8
PU,9.99812,-84.1104,Psittacara finschi,NA,A,V,8
PU,9.99812,-84.1104,Psittacara finschi,NA,A,V,8
PU,9.99812,-84.1104,Psittacara finschi,NA,A,V,8
PU,9.99812,-84.1104,Columba livia,NA,A,V,8
PU,9.99812,-84.1104,Turdus grayi,NA,A,SB,8
PU,9.99812,-84.1104,Turdus grayi,NA,A,SB,8
PU,9.99812,-84.1104,Thryophilus rufalbus,NA,A,SB,8
PU,9.99812,-84.1104,Myiozetetes similis,NA,A,SB,8
PU,9.99812,-84.1104,Todirostrum cinereum,NA,A,DS,8
PU,9.99812,-84.1104,Thraupis episcopus,NA,A,DS,8
BS,9.99855,-84.10936,Pitangus sulphuratus,NA,A,SB,0
BS,9.99855,-84.10936,Amazilia tzacatl,NA,A,DS,0
BS,9.99855,-84.10936,Patagioenas flavirostris,NA,A,DS,0
BS,9.99855,-84.10936,Melanerpes hoffmannii,NA,A,DS,0
BS,9.99855,-84.10936,Turdus grayi,NA,A,SB,0
BS,9.99855,-84.10936,Patagioenas flavirostris,NA,A,DS,0
BS,9.99855,-84.10936,Melanerpes hoffmannii,NA,A,DS,0
BS,9.99855,-84.10936,Turdus grayi,NA,A,DS,0
BS,9.99855,-84.10936,Pygochelidon cyanoleuca,NA,A,V,0
BS,9.99855,-84.10936,Pygochelidon cyanoleuca,NA,A,V,0
BS,9.99855,-84.10936,Pygochelidon cyanoleuca,NA,A,V,0
BS,9.99855,-84.10936,Pygochelidon cyanoleuca,NA,A,V,0
BS,9.99855,-84.10936,Thraupis palmarum,NA,A,DS,0
BS,9.99855,-84.10936,Thraupis palmarum,NA,A,DS,0
BS,9.99855,-84.10936,Thraupis palmarum,NA,A,DS,0
BS,9.99855,-84.10936,Thraupis palmarum,NA,A,DS,0
BS,9.99855,-84.10936,Thraupis episcopus,NA,A,SB,0
BS,9.99855,-84.10936,Troglodytes musculus,NA,A,SB,0
BS,9.99855,-84.10936,Tyrannus melancholicus,NA,A,SB,0
BS,9.99855,-84.10936,Thraupis episcopus,NA,A,DS,0
BS,9.99855,-84.10936,Vireo flavoviridis,NA,A,DS,0
PC,9.99912,-84.10874,Patagioenas flavirostris,NA,A,DS,45
PC,9.99912,-84.10874,Pygochelidon cyanoleuca,NA,A,V,45
PC,9.99912,-84.10874,Pygochelidon cyanoleuca,NA,A,V,45
PC,9.99912,-84.10874,Saltator atriceps,NA,A,DS,45
PC,9.99912,-84.10874,Saltator atriceps,NA,A,DS,45
PC,9.99912,-84.10874,Campylorhynchus capistratus,NA,A,NA,45
PC,9.99912,-84.10874,Turdus grayi,NA,A,SB,45
PC,9.99912,-84.10874,Turdus grayi,NA,A,SB,45
PC,9.99912,-84.10874,Turdus grayi,NA,A,SB,45
PC,9.99912,-84.10874,Amazilia tzacatl,NA,A,SB,45
PC,9.99912,-84.10874,Turdus grayi,NA,A,SB,45
PC,9.99912,-84.10874,Pitangus sulphuratus,NA,A,SB,45
PC,9.99912,-84.10874,Amazilia tzacatl,NA,A,SB,45
PC,9.99912,-84.10874,Troglodytes musculus,NA,A,NA,45
PB,10.0001,-84.10866,Momotus lessonii,NA,A,SB,0
PB,10.0001,-84.10866,Pitangus sulphuratus,NA,A,SB,0
PB,10.0001,-84.10866,Thraupis episcopus,NA,A,NA,0
PB,10.0001,-84.10866,Thraupis episcopus,NA,A,NA,0
PB,10.0001,-84.10866,Quiscalus mexicanus,M,A,SB,0
PB,10.0001,-84.10866,Megarhynchus pitangua,NA,A,NA,0
PB,10.0001,-84.10866,Zenaida asiatica ,NA,A,SB,0
PB,10.0001,-84.10866,Zenaida asiatica ,NA,A,SB,0
PB,10.0001,-84.10866,Zenaida asiatica ,NA,A,SB,0
PB,10.0001,-84.10866,Turdus grayi,NA,A,SB,0
PB,10.0001,-84.10866,Myiozetetes similis,NA,A,SB,0
PB,10.0001,-84.10866,Zonotrichia capensis,H,A,SU,0
PB,10.0001,-84.10866,Zonotrichia capensis,H,A,SU,0
PB,10.0001,-84.10866,Zonotrichia capensis,H,A,SU,0
PB,10.0001,-84.10866,Zonotrichia capensis,M,A,SU,0
PB,10.0001,-84.10866,Zonotrichia capensis,M,A,SU,0
PB,10.0001,-84.10866,Tyrannus melancholicus,NA,A,SB,0
PB,10.0001,-84.10866,Tyrannus melancholicus,NA,A,SB,0
PB,10.0001,-84.10866,Patagioenas flavirostris,NA,A,DS,0
PB,10.0001,-84.10866,Patagioenas flavirostris,NA,A,DS,0
PB,10.0001,-84.10866,Tyrannus melancholicus,NA,A,SB,0
PQ,10.00122,"-8,410,928",Patagioenas flavirostris,NA,A,DS,1
PQ,10.00122,-84.10928,Zenaida asiatica ,NA,A,SB,1
PQ,10.00122,-84.10928,Quiscalus mexicanus,NA,A,V,1
PQ,10.00122,-84.10928,Psittacara finschi,NA,A,V,1
PQ,10.00122,-84.10928,Psittacara finschi,NA,A,V,1
PQ,10.00122,-84.10928,Psittacara finschi,NA,A,V,1
PQ,10.00122,-84.10928,Psittacara finschi,NA,A,V,1
PQ,10.00122,-84.10928,Psittacara finschi,NA,A,V,1
PQ,10.00122,-84.10928,Patagioenas flavirostris,NA,A,SB,1
PQ,10.00122,-84.10928,Patagioenas flavirostris,NA,A,SB,1
SB,10.00513,-84.10983,Zenaida asiatica ,NA,A,V,11
SB,10.00513,-84.10983,Zenaida asiatica ,NA,A,V,11
SB,10.00513,-84.10983,Zenaida asiatica ,NA,A,V,11
SB,10.00513,-84.10983,Thraupis episcopus,NA,A,DS,11
SB,10.00513,-84.10983,Turdus grayi ,NA,A,DS,11
SB,10.00513,-84.10983,Myiozetetes similis,NA,A,DS,11
AB,9.99935,-84.110012,Psittacara finschi,H,A,V,14
AB,9.99935,-84.110012,Psittacara finschi,M,A,V,14
AB,9.99935,-84.110012,Melanerpes hoffmannii,NA,A,NA,14
AB,9.99935,-84.110012,Turdus grayi,NA,A,DS,14
AB,9.99935,-84.110012,Turdus grayi,NA,A,SB,14
AB,9.99935,-84.110012,Turdus grayi,NA,A,SB,14
AB,9.99935,-84.110012,Turdus grayi,NA,A,SB,14
AB,9.99935,-84.110012,Turdus grayi,NA,A,SB,14
AB,9.99935,-84.110012,Turdus grayi,NA,A,SB,14
AB,9.99935,-84.110012,Turdus grayi,NA,A,DS,14
AB,9.99935,-84.110012,Sporophila morelleti,M,A,SB,14
GM,9.99962,-84.10817,Zenaida asiatica ,NA,A,SU,12
GM,9.99962,-84.10817,Thryophilus rufalbus,NA,A,DS,12
GM,9.99962,-84.10817,Basileuterus delattrii,NA,A,SB,12
GM,9.99962,-84.10817,Cantorchilus modestus,NA,A,SB,12
GM,9.99962,-84.10817,Megarynchus pitangua,NA,A,DS,12
GM,9.99962,-84.10817,Cantorchilus modestus,NA,A,SB,12
GM,9.99962,-84.10817,Tolmomyias sulphurescens,NA,A,SB,12
GM,9.99962,-84.10817,Turdus grayi ,NA,A,SB,12
GM,9.99962,-84.10817,Cantorchilus modestus,NA,A,SB,9
GV,9.99992,-84.10664,Zenaida asiatica ,NA,A,SB,9
GV,9.99992,-84.10664,Pygochelidon cyanoleuca,NA,A,V,9
GV,9.99992,-84.10664,Pygochelidon cyanoleuca,NA,A,V,9
GV,9.99992,-84.10664,Thraupis episcopus,NA,A,SB,9
GV,9.99992,-84.10664,Quiscalus mexicanus,NA,A,SB,9
GV,9.99992,-84.10664,Amazona autumnalis,NA,A,SB,9
GV,9.99992,-84.10664,Amazona autumnalis,NA,A,SB,9
DECK,9.99995,-84.10577,Thraupis episcopus,NA,A,SB,6
DECK,9.99995,-84.10577,Thraupis episcopus,NA,A,SB,6
DECK,9.99995,-84.10577,Thraupis episcopus,NA,A,SB,6
DECK,9.99995,-84.10577,Thraupis episcopus,NA,A,SB,6
DECK,9.99995,-84.10577,Tyrannus melancholicus,NA,A,SB,6
DECK,9.99995,-84.10577,Troglodytes musculus,NA,A,SB,6
DECK,9.99995,-84.10577,Turdus grayi ,NA,A,SB,6
DECK,9.99995,-84.10577,Turdus grayi ,NA,A,SB,6
DECK,9.99995,-84.10577,Pygochelidon cyanoleuca,NA,A,SB,6
DECK,9.99995,-84.10577,Pygochelidon cyanoleuca,NA,A,V,6
DECK,9.99995,-84.10577,Melanerpes hoffmannii,NA,A,V,6
DECK,9.99995,-84.10577,Campylorhynchus rufinucha,NA,A,SB,6
DECK,9.99995,-84.10577,Tyrannus melancholicus,NA,A,SB,6
DECK,9.99995,-84.10577,Tyrannus melancholicus,NA,A,SB,6
SR,10,-84.10506,Quiscalus mexicanus,NA,A,SB,5
SR,10,-84.10506,Columba livia,NA,A,SB,5
SR,10,-84.10506,Columba livia,NA,A,SB,5
SR,10,-84.10506,Turdus grayi ,NA,A,SB,5
PC,10.00035,-84.1919,Saltator grandis,NA,A,SB,0
PC,10.00035,-84.1919,Saltator grandis,NA,A,SB,0
PC,10.00035,-84.1919,Thraupis episcopus,NA,A,SB,0
PC,10.00035,-84.1919,Amazilia tzacatl,NA,A,SB,0
PC,10.00035,-84.1919,Quiscalus mexicanus,NA,A,SB,0
PC,10.00035,-84.1919,Cantorchilus modestus,NA,A,SB,0
PC,10.00035,-84.1919,Troglodytes musculus,NA,A,SB,0
PC,10.00035,-84.1919,Turdus grayi ,NA,A,SB,0
PC,10.00035,-84.1919,Thraupis episcopus,NA,A,SB,0
PC,10.00035,-84.1919,Dives dives,NA,A,DS,0
PC,10.00035,-84.1919,Saltator maximus,NA,A,SB,0
PC,10.00035,-84.1919,Melanerpes hoffmannii,NA,A,SB,0
PC,10.00035,-84.1919,Melanerpes hoffmannii,NA,A,SB,0
